id,price,area,listed,price_per_sqm,street,no_of_bedrooms,url_saved,district
6560969,134500,57,8.8.2018,2364,Haburská,2,https://www.topreality.sk/predaj-slnecny-2-izbovy-byt-bratislava-ii-ruzinov-strkovec-loggia-r6560969.html,Bratislava II
6568976,147e3,81,8.8.2018,1814,Martákovej,3,https://www.topreality.sk/slnecny-3-izb-byt-81-m2-balkon-velka-murovana-pivnica-samostatne-izby-147-000-eur-3-posch-3-na-martakovej-ul-v-ruzinove-na-posni-r6568976.html,Bratislava II
6488721,149990,69,8.8.2018,2173,Kadnárova,3,https://www.topreality.sk/najlacnejsibyt-sk-baiii-krasnany-kadnarova-ul-3-i-69-m2-kompletna-rekonstrukcia-2018-r6488721.html,Bratislava III
6031939,183982,67,8.8.2018,2746,Šancová,3,https://www.topreality.sk/vila-ladova-oaza-v-centre-mesta-poslednych-5-volnych-3-izbovych-bytov-bratislava-ulica-ladova-sancova-novostavba-stare-mesto-r6031939.html,Bratislava I
5653750,90600,35,8.8.2018,2588,Údernícka,2,https://www.topreality.sk/vystavba-zahajena-siahnite-na-vrchol-petrzalky-novostavba-za-bezkonkurencnu-cenu-r5653750.html,Bratislava V
5653749,134524,71,8.8.2018,1894,Údernícka,3,https://www.topreality.sk/vystavba-zahajena-siahnite-na-vrchol-petrzalky-novostavba-3i-v-cenach-od-134-000-r5653749.html,Bratislava V
5653745,115861,46,8.8.2018,2518,Údernícka,2,https://www.topreality.sk/vystavba-zahajena-siahnite-na-vrchol-petrzalky-novostavba-za-bezkonkurencnu-cenu-r5653745.html,Bratislava V
6500604,110675,45,8.8.2018,2459,Rustaveliho,2,https://www.topreality.sk/apartmany-raca-centrum-r6500604.html,Bratislava III
6487620,95e3,54,8.8.2018,1759,Krajinská,2,https://www.topreality.sk/na-predaj-2-izb-byt-54m2-krajinska-ulica-r6487620.html,Bratislava II
6557081,86900,29,7.8.2018,2996,Doležalova,1,https://www.topreality.sk/zariadeny-1i-tehlovy-byt-samostatna-kuchyna-dolezalova-ul-r6557081.html,Bratislava II
6344284,175e3,81,7.8.2018,2160,Tomášikova,3,https://www.topreality.sk/cena-znizena-priestranny-3i-byt-v-koloseu-s-2x-parkovacim-statim-moznost-odpoctu-dph-r6344284.html,Bratislava III
6569512,185e3,80,7.8.2018,2312,Drieňová,3,https://www.topreality.sk/3-izbovy-byt-v-ruzinove-na-drienovej-ulici-r6569512.html,Bratislava II
6555424,72349,32,7.8.2018,2333,Bajkalská,1,https://www.topreality.sk/na-predaj-1-izbovy-apartman-s-balkonom-v-4-faze-projektu-novy-ruzinov-v-oblubenej-casti-bratislavy-r6555424.html,Bratislava II
6529885,158510,60,7.8.2018,2641,Bajkalská,3,https://www.topreality.sk/predaj-projekt-novy-ruzinov-bajkalska-ul-3kk-60-42-m2-r6529885.html,Bratislava II
6485918,188570,69,7.8.2018,2773,Bajkalská,3,https://www.topreality.sk/predaj-projekt-novy-ruzinov-bajkalska-ul-3kk-68-8-m2-r6485918.html,Bratislava II
6451020,126700,53,7.8.2018,2436,Bajkalská,2,https://www.topreality.sk/predaj-projekt-novy-ruzinov-bajkalska-ul-2kk-52-61-m2-r6451020.html,Bratislava II
6437282,162958,62,7.8.2018,2671,Seberíniho,2,https://www.topreality.sk/predaj-2-izbovy-byt-78-42m2-seberiniho-bratislava-ruzinov-r6437282.html,Bratislava II
6354174,187747,61,7.8.2018,3129,Seberíniho,2,https://www.topreality.sk/na-predaj-2-izbovy-byt-s-velkou-terasou-v-projekte-seberiniho-idealne-mestske-byvanie-v-ruzinove-r6354174.html,Bratislava II
6215647,155500,47,7.8.2018,3380,Mýtna,2,https://www.topreality.sk/na-predaj-2-izbovy-apartman-v-projekte-proxenta-residence-byvanie-v-centre-mesta-v-novostavbe-vo-vysokom-standarde-r6215647.html,Bratislava I
6215620,152750,51,7.8.2018,2995,Mýtna,2,https://www.topreality.sk/predaj-2-izboveho-apartmanu-s-vyhladom-v-projekte-proxenta-residence-moderne-byvanie-v-starom-meste-r6215620.html,Bratislava I
6215571,148e3,51,7.8.2018,2901,Mýtna,2,https://www.topreality.sk/na-predaj-2-izbovy-apartman-v-projekte-proxenta-residence-moderne-byvanie-pre-aktivnych-ludi-v-starom-meste-r6215571.html,Bratislava I
6548999,184800,61,7.8.2018,3029,Drieňová,1,https://www.topreality.sk/unikatny-mestsky-byt-s-balkonom-v-boria-na-strkovci-r6548999.html,Bratislava II
6537994,184800,61,7.8.2018,3029,Drieňová,2,https://www.topreality.sk/unikatny-mestsky-byt-s-balkonom-v-boria-na-strkovci-r6537994.html,Bratislava II
6562606,119743,38,7.8.2018,3151,Tupého,1,https://www.topreality.sk/lexxus-predaj-1-izbovy-byt-v-projekte-belaria-koliba-ii-etapa-r6562606.html,Bratislava III
6475075,182e3,77,6.8.2018,2363,Šustekova,3,https://www.topreality.sk/slnecny-priestranny-3-izbovy-byt-novostavba-vyhladavana-lokalita-sustekova-u-zaciatok-petrzalky-r6475075.html,Bratislava V
6567477,123e3,57,6.8.2018,2157,Hrachová,3,https://www.topreality.sk/predaj-2-5-izbovy-byt-s-parkovanim-a-predzahradkou-novostavba-v-ruzinove-r6567477.html,Bratislava II
6552403,123e3,80,6.8.2018,1537,Píniová,3,https://www.topreality.sk/na-predaj-velky-3-izbovy-byt-s-loggiou-a-parkovacim-miestom-bratislava-ii-r6552403.html,Bratislava II
6534463,239e3,99,6.8.2018,2414,Mierová,3,https://www.topreality.sk/na-predaj-velky-a-slnecny-3-izbovy-byt-s-dvomi-loggiami-bratislava-ruzinov-r6534463.html,Bratislava II
5601546,189900,209,6.8.2018,908,Na Piesku,4,https://www.topreality.sk/www-lilum-sk-projekt-na-spravnom-mieste-r5601546.html,Bratislava II
6469987,239e3,89,6.8.2018,2685,Račianska,3,https://www.topreality.sk/lexxus-predaj-3i-byt-kvalitna-rekonstrukcia-bratislava-racianska-r6469987.html,Bratislava III
6433278,219992,86,6.8.2018,2558,Martina Granca,3,https://www.topreality.sk/lexxus-predaj-3-izbovy-byt-v-projekte-pekna-vyhliadka-dubravka-r6433278.html,Bratislava IV
6433277,202487,73,6.8.2018,2773,Martina Granca,3,https://www.topreality.sk/lexxus-predaj-3-izbovy-byt-v-projekte-pekna-vyhliadka-dubravka-r6433277.html,Bratislava IV
6567369,129500,56,6.8.2018,2312,Ružinov (Bratislava II),2,https://www.topreality.sk/na-skok-2-izby-a-54m2-skveleho-byvania-kompletna-rekonstrukcia-v-centre-ruzinova-r6567369.html,Bratislava II
6562835,14e4,78,6.8.2018,1794,Jasovská,3,https://www.topreality.sk/priestranny-svetly-3-izb-byt-jasovska-r6562835.html,Bratislava V
6566645,154900,73,4.8.2018,2121,Devínska Nová Ves (Bratislava IV),3,https://www.topreality.sk/3i-73-m2-lodzia-rekuperacia-solarne-panely-bratislava-devinskanovaves-r6566645.html,Bratislava IV
6544804,109e3,38,4.8.2018,2868,Odborárska,2,https://www.topreality.sk/2-izbovy-byt-v-novostavbe-kubik-s-balkonom-este-neobyvany-tiche-prostredie-blizko-centra-r6544804.html,Bratislava III
6565818,124900,68,3.8.2018,1836,Bodrocká,3,https://www.topreality.sk/slnecny-3izb-byt-v-podunajskych-biskupiciach-r6565818.html,Bratislava II
6559505,114500,43,3.8.2018,2662,Ružinov (Bratislava II),2,https://www.topreality.sk/novy-1-5i-byt-43m2-ruzinov-ostredky-r6559505.html,Bratislava II
6513463,87e3,36,3.8.2018,2416,Osuského,1,https://www.topreality.sk/reality-byvanie-predaj-1i-bytu-po-ciastocnej-rekonstrukcii-na-osuskeho-ulici-r6513463.html,Bratislava V
6457967,212e3,112,3.8.2018,1892,Kapsohradská,4,https://www.topreality.sk/reality-byvanie-byvajte-ako-v-rodinnom-dome-pokojne-byvanie-v-priestrannom-4i-dvojpodlaznom-byte-v-dvojdome-so-zahradou-a-parkingom-v-tichom-prostredi-a-blizko-prirody-r6457967.html,Bratislava IV
6331949,21e4,123,3.8.2018,1707,Chvojnícka,4,https://www.topreality.sk/reality-byvanie-byvajte-ako-v-rodinnom-dome-pokojne-byvanie-v-priestrannych-4i-dvojpodlaznych-bytoch-so-zahradou-a-parkingom-na-skok-do-mesta-a-blizko-prirody-r6331949.html,Bratislava IV
6331944,194900,100,3.8.2018,1949,Čerencová,4,https://www.topreality.sk/reality-byvanie-byvajte-ako-v-rodinnom-dome-pokojne-byvanie-v-priestrannych-4i-dvojpodlaznych-bytoch-so-zahradou-a-parkingom-na-skok-do-mesta-a-blizko-prirody-r6331944.html,Bratislava IV
6557612,11e4,81,2.8.2018,1358,Rajecká,4,https://www.topreality.sk/priestranny-4-izb-byt-ciastocna-rekonstruckia-2p-vrakuna-rajecka-ul-r6557612.html,Bratislava II
6552042,199e3,87,1.8.2018,2287,Dobrovského,2,https://www.topreality.sk/2-5-izbovy-tichy-byt-v-centre-stareho-mesta-s-krasnym-dvorom-na-dobrovskeho-ul-v-bratislave-r6552042.html,Bratislava I
6518540,219992,83,1.8.2018,NA,Pod Vachmajstrom,2,https://www.topreality.sk/nadstandardny-2i-byt-v-novostavbe-s-predzahradkou-260-m2-koliba-r6518540.html,Bratislava III
5627897,307107,90,1.8.2018,3412,Pod Vachmajstrom,3,https://www.topreality.sk/kolaudujeme-rezidencia-na-kolibe-3i-byt-na-predaj-90-05-m2-47-34-m2-c-01-02-r5627897.html,Bratislava III
5627868,303028,83,1.8.2018,3650,Pod Vachmajstrom,3,https://www.topreality.sk/kolaudujeme-rezidencia-na-kolibe-3i-byt-na-predaj-83-m2-85-m2-b-01-03-r5627868.html,Bratislava III
5627736,341061,110,1.8.2018,3100,Pod Vachmajstrom,4,https://www.topreality.sk/kolaudujeme-rezidencia-na-kolibe-4i-byt-na-predaj-105-96-m2-13-08-m2-a-01-04-r5627736.html,Bratislava III
6562461,207e3,96,31.7.2018,2156,Robotnícka,3,https://www.topreality.sk/3-izbovy-priestranny-byt-vo-vybornej-lokalite-pri-trnavskom-myte-robotnicka-ulica-balkon-loggia-96-m2-r6562461.html,Bratislava III
6535728,157900,72,31.7.2018,2193,Kadnárova,3,https://www.topreality.sk/posledny-3-izbovy-mezonetovy-byt-v-novostavbe-kupte-si-byt-priamo-bez-provizii-r6535728.html,Bratislava III
6541046,215e3,88,25.7.2018,2443,Mariánska,3,https://www.topreality.sk/3izb-byt-v-uplnom-centre-marianska-ul-r6541046.html,Bratislava I
6537843,239e3,75,25.7.2018,3186,Nám. SNP,2,https://www.topreality.sk/jedinecny-byt-v-znamom-manderlaku-uplne-centrum-ba-i-nam-snp-r6537843.html,Bratislava I
6531360,148500,92,25.7.2018,1614,Nerudova,3,https://www.topreality.sk/velky-rekonstr-byt-92m2-trnavka-r6531360.html,Bratislava II
6525685,136500,60,25.7.2018,2275,Saratovská,3,https://www.topreality.sk/3-izbovy-byt-v-dubravke-r6525685.html,Bratislava IV
6525601,115e3,45,25.7.2018,2555,Tomášikova,1,https://www.topreality.sk/1-izbovy-moderny-a-prakticky-rieseny-byt-v-novostavbe-na-tomasikovej-ulici-45-m2-parkovacie-statie-top-lokalita-r6525601.html,Bratislava III
6522772,202e3,75,25.7.2018,2693,Nevädzová,2,https://www.topreality.sk/2-izbovy-exkluzivny-moderny-byt-75-m2-novostavba-retro-parkovacie-statie-pivnica-jv-orientacia-vyhodna-investicia-aj-na-prenajimanie-r6522772.html,Bratislava II
6516817,79e3,39,25.7.2018,2025,Saratovská,1,https://www.topreality.sk/3d-prehliadka-priestranny-1-izbovy-byt-na-saratovskej-ulici-v-tichej-casti-39-m2-samostatna-kuchyna-r6516817.html,Bratislava IV
6555186,149e3,66,24.7.2018,2257,Gallayova,3,https://www.topreality.sk/3-izbovy-byt-v-tichej-lokalite-mestskej-casti-bratislava-dubravka-r6555186.html,Bratislava IV
6551051,134950,68,19.7.2018,1984,Kukučínova,3,https://www.topreality.sk/na-predaj-3-izb-byt-s-balkonom-kukucinova-68-m2-r6551051.html,Bratislava III
6546170,239e3,84,16.7.2018,2845,Záhradnícka,3,https://www.topreality.sk/ponukame-na-predaj-slnecny-stylovo-zrekonstruovany-3-izb-byt-na-zahradnickej-ulici-r6546170.html,Bratislava I
6296465,207e3,105,15.7.2018,1971,Turbínová,2,https://www.topreality.sk/skolaudovane-104-8m2-industrialny-loft-v-tovarenskom-projekte-mlynica-r6296465.html,Bratislava III
6391181,373790,150,15.7.2018,2491,Brezova,3,https://www.topreality.sk/149-65m2-3-izbovy-byt-c-vodaren-brezova-z-roku-1916-r6391181.html,Bratislava II
6473729,117700,67,12.7.2018,1756,Toryská,3,https://www.topreality.sk/predaj-3-izbovy-byt-toryska-38-bratislava-2-r6473729.html,Bratislava II
6352940,295e3,144,25.6.2018,2048,Papraďová,4,https://www.topreality.sk/ponukame-na-predaj-stylovy-4-izb-mezonet-s-terasou-a-parkovanim-na-papradovej-ulici-r6352940.html,Bratislava II
5672410,325e3,150,25.6.2018,2166,Paulínyho,3,https://www.topreality.sk/ponukame-na-predaj-priestranny-byt-v-centre-mesta-na-hviezdoslavovom-namesti-r5672410.html,Bratislava I
6520002,339e3,160,19.6.2018,2118,Saratovská,3,https://www.topreality.sk/penthouse-s-velkou-terasou-v-dubravke-r6520002.html,Bratislava IV
6518898,255e3,90,19.6.2018,2833,Heydukova,4,https://www.topreality.sk/krasny-4-izbovy-byt-na-heydukovej-ulici-v-centre-mesta-r6518898.html,Bratislava I
6427372,145e3,59,13.6.2018,2457,Dlhé diely III.,2,https://www.topreality.sk/realitna-kancelaria-pegas-real-ponuka-exkluzivne-na-predaj-2izbovy-byt-s-rozlohou-55-75-m2-a-balkon-v-projekte-meander-v-najzelensej-casti-bratislavy-m-c-karlova-ves-uz-kolaudujeme-r6427372.html,Bratislava IV
6341765,152184,76,13.6.2018,2002,Kazanská,3,https://www.topreality.sk/3-izbove-byty-v-bytovom-komplexe-oppidum-mame-skolaudovane-r6341765.html,Bratislava II
6341764,107200,48,13.6.2018,2280,Kazanská,2,https://www.topreality.sk/2-izbove-byty-v-bytovom-komplexe-oppidum-mame-skolaudovane-r6341764.html,Bratislava II
6341762,79694,36,13.6.2018,2213,Kazanská,1,https://www.topreality.sk/1-izbove-byty-v-bytovom-komplexe-oppidum-mame-skolaudovane-r6341762.html,Bratislava II
5634513,229e3,138,13.6.2018,1659,Mierová,4,https://www.topreality.sk/treenium-4-izbove-byty-v-jedinecnom-projekte-v-ruzinove-r5634513.html,Bratislava II
5634511,168e3,79,13.6.2018,2153,Mierová,3,https://www.topreality.sk/treenium-3-izbove-byty-v-jedinecnom-projekte-v-ruzinove-r5634511.html,Bratislava II
5634510,119e3,46,13.6.2018,2586,Mierová,2,https://www.topreality.sk/treenium-2-izbove-byty-v-jedinecnom-projekte-v-ruzinove-r5634510.html,Bratislava II
6447349,78e3,35,6.6.2018,2228,Ipeľská,2,https://www.topreality.sk/2-izb-byt-baii-35-m2-78-000-r6447349.html,Bratislava II
6422813,142500,69,6.6.2018,2065,Riazanská,3,https://www.topreality.sk/na-predaj-3-izb-byt-s-balkonom-nove-mesto-riazanska-69-m2-r6422813.html,Bratislava III
6465592,194900,123,13.5.2018,1584,Záhorská Bystrica (Bratislava IV),4,https://www.topreality.sk/posledne-volne-4i-byty-v-zahorskej-bystrici-s-vlastnym-pozemkom-r6465592.html,Bratislava IV
6570135,127e3,78,8.8.2018,1628,Beňovského,3,https://www.topreality.sk/3-izbovy-dubravka-benovskeho-s-loggiou-cez-cely-byt-r6570135.html,Bratislava IV
6538004,169700,82,8.8.2018,2069,Opletalova,3,https://www.topreality.sk/predaj-velmi-vkusne-zrekonstuovaneho-priestranneho-bytu-v-devinskej-novej-vsi-r6538004.html,Bratislava IV
6527736,42e4,125,8.8.2018,3360,Na varte,4,https://www.topreality.sk/predaj-nadstandardneho-4-izb-bytu-s-loggiou-predzahradkou-a-2-parkovacimi-miestami-r6527736.html,Bratislava III
6505321,119900,56,8.8.2018,2141,Andreja Mráza,2,https://www.topreality.sk/na-predaj-2-izb-byt-ruzinov-posen-r6505321.html,Bratislava II
6504139,119900,76,8.8.2018,1577,Čunovo (Bratislava V),4,https://www.topreality.sk/byvajte-v-4-izbovom-byte-v-dome-rodinneho-charakteru-r6504139.html,Bratislava V
6459959,275e3,103,8.8.2018,2669,Jamnického,3,https://www.topreality.sk/predaj-nadstandardneho-3-izb-bytu-so-zimnou-zahradou-a-predzahradkou-r6459959.html,Bratislava IV
6389000,234e3,40,8.8.2018,NA,Vývojová,1,https://www.topreality.sk/1-izbovy-byt-v-dome-rodinneho-typu-r6389000.html,Bratislava V
6497241,269900,77,8.8.2018,3038,Palkovičova,2,https://www.topreality.sk/ponukame-na-predaj-vynimocny-2i-byt-na-palkovicovej-ulici-v-bratislave-ruzinov-r6497241.html,Bratislava II
6394455,107500,77,8.8.2018,NA,Palkovičova,2,https://www.topreality.sk/ponukame-na-predaj-vynimocny-2i-byt-na-palkovicovej-ulici-v-bratislave-ruzinov-r6394455.html,Bratislava II
6568505,136900,84,8.8.2018,3228,Žilinská,3,https://www.topreality.sk/predaj-2-5-izbovy-byt-zilinska-ulica-bratislava-i-stare-mesto-r6568505.html,Bratislava I
6568149,137900,33,8.8.2018,3244,Ondavská,2,https://www.topreality.sk/predaj-1-5-izbovy-byt-ondavska-ulica-bratislava-nivy-r6568149.html,Bratislava II
6566567,142500,49,8.8.2018,2783,Mozartova,2,https://www.topreality.sk/predaj-2-izbovy-byt-na-mozartovej-ulici-bratislava-stare-mesto-r6566567.html,Bratislava I
6566566,194900,47,8.8.2018,2904,Pionierska,2,https://www.topreality.sk/predaj-2-izbovy-byt-pionierska-ulica-bratislava-nove-mesto-r6566566.html,Bratislava III
6562243,129900,48,8.8.2018,2709,Nezábudková,2,https://www.topreality.sk/predaj-krasny-2-izbovy-byt-nezabudkova-ulica-bratislava-ruzinov-r6562243.html,Bratislava II
6560475,93900,52,8.8.2018,1809,Lotyšská,2,https://www.topreality.sk/rezervovany-2-izbovy-byt-lotysska-ulica-bratislava-ii-r6560475.html,Bratislava II
6556612,113990,45,8.8.2018,2533,Budatinská,1,https://www.topreality.sk/predaj-novostavba-1-izbovy-byt-budatinska-ulica-bratislava-petrzalka-r6556612.html,Bratislava V
6555219,145e3,55,8.8.2018,2613,Bajkalská,2,https://www.topreality.sk/predaj-novostavba-2-izbovy-byt-bajkalska-ulica-ba-ii-ruzinov-r6555219.html,Bratislava II
6540823,144990,82,8.8.2018,1762,M. Schneidera - Trnavského,3,https://www.topreality.sk/predaj-3-izbovy-byt-m-schneidera-trnavskeho-ba-iv-dubravka-r6540823.html,Bratislava IV
6540821,142500,57,8.8.2018,2504,Haburská,2,https://www.topreality.sk/predaj-velkorysy-2-izbovy-byt-haburska-ulica-baii-ruzinov-strkovec-r6540821.html,Bratislava II
6539464,279900,98,8.8.2018,2857,Pluhová,4,https://www.topreality.sk/predaj-4-izbovy-byt-na-pluhovej-ulici-bratislava-nove-mesto-r6539464.html,Bratislava III
6539462,124900,42,8.8.2018,2993,Račianska,2,https://www.topreality.sk/predaj-1-5-izbovy-byt-racianska-ulica-bratislava-nove-mesto-r6539462.html,Bratislava III
6535873,136900,62,8.8.2018,2191,Chlumeckého,2,https://www.topreality.sk/predaj-velky-2-izbovy-byt-chlumeckeho-ulica-bratislava-ii-ruzinov-r6535873.html,Bratislava II
6535868,79500,38,8.8.2018,2110,Korytnická,1,https://www.topreality.sk/predaj-1-izbovy-byt-korytnicka-ulica-ba-ii-podunajske-biskupice-r6535868.html,Bratislava II
6535860,107900,49,8.8.2018,2215,Vŕbová,2,https://www.topreality.sk/predaj-2-izbovy-byt-vrbova-ulica-ba-ii-vrakuna-r6535860.html,Bratislava II
6534966,299e3,95,8.8.2018,3133,Štetinová,4,https://www.topreality.sk/predaj-3-5-izbovy-byt-stetinova-ulica-palisady-bratislava-stare-mesto-r6534966.html,Bratislava I
6534718,116900,42,8.8.2018,2801,Teplická,1,https://www.topreality.sk/predaj-1-izbovy-byt-bratislava-nove-mesto-teplicka-ulica-r6534718.html,Bratislava III
6534713,136500,52,8.8.2018,2613,Československých parašutistov,2,https://www.topreality.sk/predaj-2-izbovy-byt-na-ul-csl-parasutistov-bratislava-nove-mesto-r6534713.html,Bratislava III
6534703,164900,68,8.8.2018,2410,Staré záhrady,3,https://www.topreality.sk/predaj-3-izbovy-byt-stare-zahrady-ba-ii-ruzinov-prievoz-r6534703.html,Bratislava II
6534695,128500,47,8.8.2018,2708,Šalviová,2,https://www.topreality.sk/predaj-krasny1-5-izbovy-byt-salviova-ulica-bratislava-ii-ruzinov-r6534695.html,Bratislava II
6523581,149900,64,8.8.2018,2335,Lackova,3,https://www.topreality.sk/predaj-3-izbovy-byt-s-vyhladom-lackova-ulica-bratislava-iv-karlova-ves-r6523581.html,Bratislava IV
6522383,149900,69,8.8.2018,2179,Planét,2,https://www.topreality.sk/predaj-2-izbovy-byt-ul-planet-bratislava-ruzinov-r6522383.html,Bratislava II
6511550,142900,52,8.8.2018,2727,Herlianska,2,https://www.topreality.sk/predaj-pekny-2-izbovy-byt-herlianska-ul-bratislava-ii-ruzinov-r6511550.html,Bratislava II
6511546,153500,66,8.8.2018,2313,Sklenárova,3,https://www.topreality.sk/predaj-slnecny-3-izbovy-byt-sklenarova-ulica-ba-ii-ruzinov-nivy-balkon-r6511546.html,Bratislava II
6504055,156e3,67,8.8.2018,2328,Drieňová,4,https://www.topreality.sk/olymp-4-izbovy-byt-s-dvomi-balkonmi-vo-vybornej-lokalite-ruzinova-r6504055.html,Bratislava II
6468478,157500,72,8.8.2018,2187,Kuklovská,3,https://www.topreality.sk/olymp-moderne-a-vkusne-byvanie-na-kuklovskej-s-peknym-vyhladom-na-zelen-r6468478.html,Bratislava IV
6510020,173500,68,8.8.2018,2589,Pajštúnska,2,https://www.topreality.sk/classicreal-vynimocny-2-izbovy-byt-v-skybox-petrzalka-r6510020.html,Bratislava V
6369959,64e3,42,8.8.2018,1523,Vlčie hrdlo,2,https://www.topreality.sk/na-predaj-ponukame-2-izbovy-byt-s-balkonom-vlcie-hrdlo-ruzinov-r6369959.html,Bratislava II
6293204,197e3,112,8.8.2018,1758,Podunajská,4,https://www.topreality.sk/ponukame-na-predaj-priestranny-slnecny-4-izbovy-byt-mezonet-v-prijemnej-lokalite-v-podunajskych-biskupiciach-r6293204.html,Bratislava II
6235906,249e3,130,8.8.2018,1915,Špitálska,3,https://www.topreality.sk/classic-real-ponuka-na-predaj-pekny-3-izbovy-byt-v-cente-na-spitalskej-ul-ba-i-r6235906.html,Bratislava I
6566880,335e3,107,8.8.2018,3130,Medená,4,https://www.topreality.sk/predame-4-izb-ba-i-stare-mesto-medena-ul-pri-redute-r6566880.html,Bratislava I
6563514,157e3,83,8.8.2018,1891,Mierová,3,https://www.topreality.sk/3-izb-ba-ii-ruzinov-mierova-ul-moznost-odpoctu-dph-r6563514.html,Bratislava II
6567436,147e3,81,8.8.2018,1814,Martákovej,3,https://www.topreality.sk/slnecny-3-izb-byt-81-m2-balkon-velka-murovana-pivnica-samostatne-izby-147-000-eur-3-posch-3-na-martakovej-ul-v-ruzinove-na-posni-r6567436.html,Bratislava II
6486984,149e3,78,8.8.2018,1910,Štefana Králika,4,https://www.topreality.sk/exkluzivne-devinska-nova-ves-krasny-4-izbovy-byt-na-predaj-r6486984.html,Bratislava IV
6563177,104e3,62,8.8.2018,1677,Bujnákova,3,https://www.topreality.sk/predam-2-5-izbovy-byt-na-bujnakovej-ulici-v-bratislave-dubravka-r6563177.html,Bratislava IV
6560453,174e3,82,8.8.2018,2121,Babuškova,3,https://www.topreality.sk/predam-3-izbovy-byt-po-desatrocnej-rekonstrukcii-na-babuskovej-ulici-byt-sa-nachadza-na-7-poschodi-pod-strechou-r6560453.html,Bratislava II
6560429,222e3,108,8.8.2018,2055,Prešovská,3,https://www.topreality.sk/predam-3-izbovy-byt-na-presovskej-ulici-v-tehlovom-dome-r6560429.html,Bratislava II
6560390,145e3,73,8.8.2018,1986,Bílikova,3,https://www.topreality.sk/predam-3-izbovy-byt-v-dubravke-na-bilikovej-ulici-r6560390.html,Bratislava IV
6505856,14e4,63,8.8.2018,2222,Kazanská,2,https://www.topreality.sk/ponukame-na-predaj-2-izbovy-byt-v-13-rocnej-stavbe-stavbe-s-uzamykatelnou-garazou-na-kazanskej-ulici-v-podunajskych-biskupiciach-r6505856.html,Bratislava II
6460484,133e3,60,8.8.2018,2216,Rezedová,2,https://www.topreality.sk/ponukame-na-predaj-2-izbovy-byt-so-samostatnymi-izbami-na-rezedovej-ulici-bratislava-ii-ruzinov-r6460484.html,Bratislava II
6512296,185e3,81,8.8.2018,2283,Hlaváčikova,4,https://www.topreality.sk/4-izb-byt-hlavacikova-ul-r6512296.html,Bratislava IV
6483851,179e3,69,8.8.2018,2594,Piešťanská,3,https://www.topreality.sk/3-izb-byt-piestanska-ul-r6483851.html,Bratislava III
6480142,178900,66,8.8.2018,2710,Ružová dolina,2,https://www.topreality.sk/2-izb-byt-v-novostavbe-universo-ruzova-dolina-r6480142.html,Bratislava II
6390372,115e3,62,8.8.2018,1854,Tilgnerova,3,https://www.topreality.sk/3-izb-byt-tilgnerova-ul-r6390372.html,Bratislava IV
6325235,201e3,82,8.8.2018,2451,Polianky,3,https://www.topreality.sk/3-izb-byt-v-novostavbe-ceresne-r6325235.html,Bratislava IV
5926932,168e3,90,8.8.2018,1866,Ľudovíta Fullu,3,https://www.topreality.sk/velky-3-izb-byt-l-fullu-po-rek-r5926932.html,Bratislava IV
6568589,115900,85,8.8.2018,1360,Vlčie Hrdlo,3,https://www.topreality.sk/3izbovy-byt-vlcie-hrdlo-bratislava-r6568589.html,Bratislava II
6558615,135e3,77,8.8.2018,1753,Topoľčianska,3,https://www.topreality.sk/slnecny-velky-3-izbovy-byt-s-loggiami-s-pridanou-hodnotou-lokality-pri-jazere-drazdiak-petrzalka-r6558615.html,Bratislava V
6554551,179e3,161,8.8.2018,1111,Vrakuňa (Bratislava II),3,https://www.topreality.sk/arvin-benet-moderna-novostavba-s-terasou-r6554551.html,Bratislava II
6554536,149200,73,8.8.2018,2043,Kazanská,3,https://www.topreality.sk/arvin-benet-moderny-byt-v-novostavbe-r6554536.html,Bratislava II
6554512,149e3,58,8.8.2018,2568,Andreja Mráza,2,https://www.topreality.sk/arvin-benet-nadherny-charizmaticky-byt-v-top-lokalite-r6554512.html,Bratislava II
6541114,99e3,34,8.8.2018,2911,Guothova,NA,https://www.topreality.sk/dvojgarsonka-v-pokojnej-lokalite-s-krasnym-vyhladom-v-mestskej-casti-kramare-bratislava-r6541114.html,Bratislava III
6488896,143e3,61,8.8.2018,2344,Raketová,2,https://www.topreality.sk/predaj-2-5-izb-byt-ruzinov-r6488896.html,Bratislava II
6478378,279e3,92,8.8.2018,3032,Staré Grunty,4,https://www.topreality.sk/4-izbovy-byt-s-2-balkonmi-s-parkovacim-miestom-moznost-odpoctu-dph-v-modernom-projekte-cubicon-r6478378.html,Bratislava IV
6434085,149e3,68,8.8.2018,2191,Raketová,3,https://www.topreality.sk/2-5-izbovy-byt-s-balkonom-v-tehlovom-dome-v-tichej-zelenej-casti-ruzinova-raketova-r6434085.html,Bratislava II
6409178,179e3,83,8.8.2018,2156,Zadunajská cesta,4,https://www.topreality.sk/4-izbovy-byt-s-loggiou-po-rekonstrukcii-na-zaciatku-petrzalky-dvory-zadunajska-cesta-r6409178.html,Bratislava V
6409161,105e3,44,8.8.2018,2386,Zálužická,1,https://www.topreality.sk/velky-1-izbovy-byt-s-moznostou-prerobenia-na-1-5-izbovy-ruzinov-zaluzicka-r6409161.html,Bratislava II
